id,name,score,n_x,benefit_pay,balance,culture,promotion,boarder,recommend,CEO_support,potential,n_y,notice_amount
34690,메리츠화재해상보험(주),2.8,443,3,2.8,2.7,2.6,2.5,34,48,24,2665,971398040
35652,롯데카드(주),2.9,427,2.8,3.3,2.9,2.4,2.3,31,31,8,1395,546296340
2980,한국투자증권(주),3.3,408,3.7,2.8,2.6,3.2,2.9,53,63,47,2912,1272363760
3508,한국산업은행,4.1,401,4.2,4.1,3.6,3.5,3.3,85,69,39,3490,1518796820
30097,삼성카드(주),3.4,388,3.9,3.3,3.3,2.9,2.8,58,55,24,1994,895306480
31152,비씨카드(주),3.5,377,3.9,3.9,3.4,2.8,2.6,64,44,16,865,377653380
313423,리치앤코(주),2.6,374,2.5,3.3,2.5,2.6,2.1,28,47,23,532,153350500
39519,미래에셋증권(주),3.3,368,3.4,3,3,3.1,2.7,54,53,36,3811,1684240760
3172,한국자산관리공사,3.7,365,3.7,3.7,3.6,3.2,3.3,75,77,36,1793,712383440
30103,삼성증권(주),3.2,353,3.6,2.8,3,3.2,2.6,50,44,21,2596,1162806440
4799,푸르덴셜생명보험(주),3.5,348,3.2,3.5,3.7,3.2,2.8,60,49,20,481,210790640
30194,삼성생명서비스손해사정(주),2.5,345,2.9,2.4,3,2.6,2.2,20,30,14,2141,777543780
30096,삼성카드고객서비스(주),2.8,341,3.7,2.5,2.8,2.3,2.2,25,35,10,1268,418237220
3224,한국은행,4.1,340,3.9,4.3,3.9,3.3,3.5,88,81,40,2416,1015377000
6770,키움증권(주),2.8,337,2.9,3,2.9,2.6,2.5,30,53,35,924,379208580
28492,서울보증보험(주),3.9,336,4.1,3.9,3.3,3.1,3.2,81,63,35,1600,693400640
41968,농업협동조합중앙회,3.6,333,3.9,3.8,3,2.9,2.9,74,55,27,2824,1217880700
3092,한국주택금융공사,4,331,4.2,3.9,4,3.9,3.4,87,73,54,1115,404842200
1186,현대해상화재보험(주),3.6,321,4,3.4,3.2,2.8,3,67,56,31,4092,1755804900
312517,(주)케이비손해사정,2.4,310,2.8,2.3,2.8,2.4,2.1,14,22,8,1196,490440260
